Time,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
14.1,-0.0513,0.4975,0.6349,0.2859,0.3968,0.3414,0.5001,0.5111,0.5056,0.656,0.6215,0.6388
14.2,-0.0093,0.5034,0.6441,0.3028,0.3925,0.3476,0.5025,0.5129,0.5077,0.6482,0.6244,0.6363
14.3,0.029,0.5087,0.6534,0.3204,0.3912,0.3558,0.505,0.516,0.5105,0.6399,0.6278,0.6339
14.4,0.0616,0.5128,0.6623,0.338,0.3931,0.3656,0.5074,0.5204,0.5139,0.6313,0.6316,0.6315
14.5,0.0866,0.5159,0.6706,0.3545,0.3983,0.3764,0.5096,0.5261,0.5179,0.6229,0.6358,0.6294
14.6,0.1027,0.5183,0.6782,0.3691,0.4068,0.3879,0.5119,0.5331,0.5225,0.6151,0.6402,0.6276
14.7,0.1095,0.5208,0.6857,0.3819,0.4186,0.4003,0.5149,0.5411,0.528,0.6086,0.6446,0.6266
14.8,0.1076,0.5241,0.6939,0.3933,0.434,0.4136,0.519,0.55,0.5345,0.6037,0.6494,0.6265
14.9,0.0977,0.5289,0.7038,0.4037,0.4529,0.4283,0.5248,0.56,0.5424,0.6007,0.6549,0.6278
15,0.0813,0.5357,0.7154,0.4141,0.475,0.4446,0.5324,0.5713,0.5519,0.5998,0.6611,0.6304
15.1,0.06,0.5448,0.7285,0.425,0.5,0.4625,0.542,0.5843,0.5632,0.6009,0.6676,0.6342
15.2,0.0358,0.556,0.7423,0.4366,0.5272,0.4819,0.5533,0.5988,0.5761,0.6039,0.6741,0.639
15.3,0.0099,0.5687,0.7561,0.4496,0.5559,0.5027,0.5657,0.6143,0.59,0.6086,0.6803,0.6445
15.4,-0.0169,0.5822,0.7691,0.4638,0.5852,0.5245,0.5787,0.6304,0.6045,0.6143,0.686,0.6501
15.5,-0.0438,0.5959,0.7807,0.4788,0.6144,0.5466,0.5917,0.6466,0.6191,0.6201,0.6909,0.6555
15.6,-0.0704,0.6094,0.7904,0.4942,0.6422,0.5682,0.6044,0.6626,0.6335,0.6256,0.6949,0.6603
15.7,-0.0967,0.6227,0.7977,0.51,0.6673,0.5886,0.6161,0.678,0.647,0.6305,0.6978,0.6642
15.8,-0.1223,0.6356,0.8027,0.526,0.6881,0.607,0.6259,0.6921,0.659,0.6347,0.6997,0.6672
15.9,-0.1467,0.647,0.8052,0.5422,0.7034,0.6228,0.6333,0.7038,0.6685,0.6379,0.7006,0.6693
16,-0.1691,0.6565,0.8051,0.5579,0.7124,0.6352,0.6377,0.7119,0.6748,0.6396,0.7004,0.67
16.1,-0.1884,0.6639,0.8022,0.5725,0.7152,0.6439,0.6395,0.716,0.6778,0.6394,0.6987,0.6691
16.2,-0.2038,0.6692,0.7965,0.5857,0.7117,0.6487,0.6392,0.7161,0.6777,0.6374,0.6956,0.6665
16.3,-0.2145,0.6724,0.7881,0.5973,0.7022,0.6498,0.6373,0.7129,0.6751,0.6339,0.6913,0.6626
16.4,-0.2201,0.6733,0.7772,0.6072,0.6868,0.647,0.6341,0.7069,0.6705,0.6296,0.6861,0.6579
16.5,-0.2212,0.6721,0.7643,0.615,0.6663,0.6407,0.6297,0.6989,0.6643,0.6249,0.6798,0.6523
16.6,-0.2184,0.6692,0.75,0.62,0.642,0.631,0.6243,0.6892,0.6567,0.6199,0.6724,0.6461
16.7,-0.2125,0.6651,0.7349,0.6219,0.6155,0.6187,0.6188,0.6786,0.6487,0.6153,0.664,0.6396
16.8,-0.204,0.6605,0.7199,0.621,0.5883,0.6047,0.614,0.6682,0.6411,0.6117,0.6549,0.6333
16.9,-0.1933,0.6554,0.7052,0.6177,0.561,0.5894,0.6104,0.6586,0.6345,0.6095,0.6455,0.6275
17,-0.181,0.6494,0.6912,0.612,0.5338,0.5729,0.608,0.6496,0.6288,0.6086,0.6356,0.6221
17.1,-0.1677,0.6422,0.6774,0.6032,0.5067,0.555,0.6064,0.6411,0.6237,0.6084,0.6249,0.6167
17.2,-0.1537,0.6332,0.6637,0.5907,0.4799,0.5353,0.6053,0.6326,0.619,0.6087,0.6133,0.611
17.3,-0.1383,0.6224,0.6501,0.5741,0.4538,0.5139,0.6049,0.6242,0.6146,0.6097,0.6012,0.6054
17.4,-0.1203,0.6094,0.6368,0.5535,0.4287,0.4911,0.6051,0.6158,0.6105,0.6115,0.5891,0.6003
17.5,-0.0987,0.594,0.6238,0.529,0.4045,0.4667,0.6059,0.6072,0.6066,0.6142,0.5771,0.5957
17.6,-0.0733,0.5759,0.6111,0.501,0.3807,0.4408,0.6073,0.5983,0.6028,0.6176,0.5656,0.5916
17.7,-0.045,0.5556,0.599,0.4706,0.3569,0.4137,0.6091,0.5896,0.5993,0.6215,0.5549,0.5882
