Time,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
13.7,-0.3256,0.6183,0.1448,0.7051,0.8301,0.7676,0.2887,0.4069,0.3478,0.1165,0.3281,0.2223
13.8,-0.3042,0.6017,0.1558,0.68,0.7972,0.7386,0.2768,0.4061,0.3414,0.1096,0.3292,0.2194
13.9,-0.2866,0.584,0.1704,0.6535,0.7641,0.7088,0.2668,0.4074,0.3371,0.1033,0.329,0.2162
14,-0.2738,0.5666,0.1878,0.6272,0.733,0.6801,0.2589,0.4101,0.3345,0.097,0.3262,0.2116
14.1,-0.2658,0.5504,0.2077,0.6022,0.7057,0.654,0.2531,0.4138,0.3335,0.0908,0.3206,0.2057
14.2,-0.2625,0.5362,0.2294,0.5799,0.6835,0.6317,0.2499,0.4178,0.3339,0.0853,0.3127,0.199
14.3,-0.2645,0.5244,0.2518,0.5617,0.6667,0.6142,0.2501,0.4216,0.3358,0.0816,0.3031,0.1923
14.4,-0.2721,0.515,0.2738,0.5485,0.6554,0.6019,0.2544,0.4247,0.3396,0.0802,0.292,0.1861
14.5,-0.2848,0.5083,0.2953,0.5405,0.6493,0.5949,0.2635,0.4272,0.3453,0.0812,0.2799,0.1806
14.6,-0.3017,0.5046,0.3174,0.5374,0.6483,0.5928,0.2778,0.4297,0.3537,0.0853,0.2676,0.1765
14.7,-0.3217,0.5043,0.3412,0.5397,0.6515,0.5956,0.2979,0.4331,0.3655,0.0936,0.2561,0.1748
14.8,-0.3433,0.5081,0.3666,0.5479,0.6582,0.603,0.324,0.4374,0.3807,0.1075,0.2461,0.1768
14.9,-0.3647,0.5167,0.3918,0.5625,0.6676,0.6151,0.3557,0.4422,0.3989,0.1279,0.2379,0.1829
