Time,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
16.5,0.017,0.6307,0.2804,0.8378,0.6421,0.74,0.4367,0.2999,0.3683,0.1483,0.2653,0.2068
16.6,0.0348,0.6294,0.2831,0.8197,0.6417,0.7307,0.4611,0.3291,0.3951,0.1557,0.2592,0.2075
16.7,0.0575,0.6283,0.2882,0.7984,0.6411,0.7197,0.485,0.3626,0.4238,0.1635,0.255,0.2092
16.8,0.0826,0.6267,0.2957,0.7737,0.6395,0.7066,0.5072,0.3997,0.4534,0.1712,0.2526,0.2119
16.9,0.1086,0.624,0.3049,0.7458,0.6365,0.6912,0.5269,0.4397,0.4833,0.1789,0.2523,0.2156
17,0.1339,0.6203,0.3158,0.7157,0.6327,0.6742,0.5439,0.4823,0.5131,0.1867,0.2541,0.2204
17.1,0.1563,0.6166,0.3287,0.6846,0.6292,0.6569,0.558,0.527,0.5425,0.1947,0.2579,0.2263
17.2,0.1732,0.6133,0.3441,0.6537,0.6268,0.6403,0.569,0.5733,0.5712,0.2029,0.2638,0.2333
17.3,0.1822,0.6108,0.3623,0.6237,0.6256,0.6247,0.5764,0.6197,0.5981,0.2107,0.2714,0.241
17.4,0.1821,0.6092,0.3831,0.5952,0.6248,0.61,0.5799,0.6643,0.6221,0.2177,0.2804,0.2491
17.5,0.1725,0.6086,0.4061,0.5688,0.6242,0.5965,0.5796,0.7055,0.6426,0.2238,0.2908,0.2573
