Time,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
18.1,-0.0011,0.5931,0.7314,0.5972,0.6598,0.6285,0.8013,0.7376,0.7695,0.731,0.7966,0.7638
18.2,-0.0151,0.5795,0.731,0.5797,0.6355,0.6076,0.7943,0.7364,0.7653,0.7248,0.7901,0.7574
18.3,-0.0253,0.566,0.7308,0.5628,0.6105,0.5866,0.7865,0.7345,0.7605,0.7181,0.7817,0.7499
18.4,-0.0307,0.5522,0.7306,0.5467,0.5849,0.5658,0.778,0.7322,0.7551,0.7107,0.7714,0.741
18.5,-0.0315,0.538,0.7302,0.5315,0.5589,0.5452,0.7686,0.7292,0.7489,0.7024,0.7587,0.7306
18.6,-0.0285,0.5234,0.7296,0.5172,0.5332,0.5252,0.758,0.7255,0.7418,0.6932,0.7441,0.7187
18.7,-0.0223,0.5093,0.7292,0.5049,0.5088,0.5069,0.7464,0.7213,0.7339,0.6832,0.728,0.7056
18.8,-0.0127,0.497,0.7294,0.4956,0.4872,0.4914,0.7341,0.7175,0.7258,0.6726,0.7109,0.6918
18.9,0.0001,0.4874,0.7305,0.4903,0.4699,0.4801,0.7218,0.7148,0.7183,0.6615,0.6933,0.6774
19,0.0155,0.4814,0.7324,0.4897,0.4581,0.4739,0.7106,0.7138,0.7122,0.6501,0.6757,0.6629
19.1,0.032,0.4792,0.7351,0.4936,0.4526,0.4731,0.7013,0.7152,0.7082,0.6386,0.6587,0.6487
19.2,0.0478,0.4811,0.739,0.5015,0.4542,0.4779,0.6945,0.7191,0.7068,0.6276,0.6431,0.6353
19.3,0.0618,0.4867,0.7446,0.513,0.4633,0.4881,0.6907,0.7259,0.7083,0.6176,0.6296,0.6236
19.4,0.0736,0.4955,0.7527,0.5273,0.4797,0.5035,0.6903,0.7359,0.7131,0.6087,0.6189,0.6138
19.5,0.0831,0.5066,0.7634,0.5437,0.5025,0.5231,0.6933,0.7489,0.7211,0.601,0.611,0.606
