Time,Tourism Australia - Come and Say Gday 30 TVC,Tourism Australia - Come and Say Gday 30 TVC,Tourism Australia - Come and Say Gday 30 TVC,Tourism Australia - Come and Say Gday 30 TVC,Tourism Australia - Come and Say Gday 30 TVC,Tourism Australia - Come and Say Gday 30 TVC,Tourism Australia - Come and Say Gday 30 TVC,Tourism Australia - Come and Say Gday 30 TVC,Tourism Australia - Come and Say Gday 30 TVC,Tourism Australia - Come and Say Gday 30 TVC,Tourism Australia - Come and Say Gday 30 TVC,Tourism Australia - Come and Say Gday 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
11.6,0.5013,0.4571,0.3117,0.32,0.5026,0.4113,0.4453,0.2909,0.3681,0.2686,0.332,0.3003
11.7,0.4822,0.4574,0.3331,0.3196,0.5131,0.4164,0.4496,0.2751,0.3623,0.2796,0.3449,0.3122
11.8,0.4598,0.4592,0.3566,0.3217,0.5267,0.4242,0.4563,0.2641,0.3602,0.2918,0.3591,0.3254
11.9,0.4339,0.4634,0.3811,0.3263,0.543,0.4346,0.4647,0.2583,0.3615,0.3047,0.374,0.3393
12,0.4042,0.47,0.4059,0.3331,0.5611,0.4471,0.4739,0.2573,0.3656,0.3184,0.3889,0.3536
12.1,0.3706,0.4782,0.4303,0.3413,0.5794,0.4604,0.4829,0.2608,0.3718,0.3325,0.4033,0.3679
12.2,0.3338,0.4872,0.4534,0.3501,0.5963,0.4732,0.4914,0.2678,0.3796,0.3472,0.4164,0.3818
12.3,0.2953,0.4959,0.474,0.3584,0.6101,0.4843,0.4984,0.2772,0.3878,0.3627,0.4276,0.3951
12.4,0.2565,0.5034,0.4913,0.3654,0.6198,0.4926,0.5026,0.2879,0.3953,0.3785,0.4362,0.4073
12.5,0.2182,0.509,0.5048,0.3699,0.6247,0.4973,0.5025,0.2992,0.4008,0.3939,0.4419,0.4179
12.6,0.1799,0.5121,0.5145,0.3713,0.6245,0.4979,0.4972,0.311,0.4041,0.4085,0.4449,0.4267
12.7,0.1418,0.5128,0.521,0.3691,0.6195,0.4943,0.4871,0.3237,0.4054,0.4222,0.4457,0.434
12.8,0.1049,0.5114,0.5247,0.3635,0.6104,0.487,0.4736,0.3381,0.4058,0.4355,0.445,0.4403
12.9,0.0697,0.5083,0.5264,0.355,0.5979,0.4765,0.4576,0.3544,0.406,0.4482,0.4434,0.4458
13,0.036,0.5044,0.5262,0.3447,0.5829,0.4638,0.4394,0.3726,0.406,0.4596,0.4406,0.4501
13.1,0.0033,0.5006,0.524,0.3334,0.5666,0.45,0.419,0.3926,0.4058,0.469,0.4365,0.4528
13.2,-0.029,0.4975,0.5197,0.3215,0.55,0.4357,0.3961,0.4143,0.4052,0.4761,0.4311,0.4536
13.3,-0.0604,0.4954,0.5137,0.3096,0.5334,0.4215,0.3715,0.4379,0.4047,0.4815,0.4248,0.4532
13.4,-0.0899,0.4946,0.5073,0.2984,0.517,0.4077,0.3455,0.4637,0.4046,0.4866,0.4192,0.4529
13.5,-0.1174,0.4952,0.5023,0.2887,0.5011,0.3949,0.319,0.4922,0.4056,0.4927,0.4163,0.4545
13.6,-0.143,0.4981,0.5007,0.2821,0.4865,0.3843,0.2933,0.5242,0.4088,0.5009,0.4182,0.4595
13.7,-0.1667,0.5038,0.5031,0.28,0.4747,0.3773,0.27,0.5598,0.4149,0.5112,0.426,0.4686
13.8,-0.1882,0.5129,0.5097,0.2839,0.4667,0.3753,0.2497,0.5989,0.4243,0.5236,0.4402,0.4819
13.9,-0.2067,0.5255,0.5211,0.2955,0.4635,0.3795,0.2322,0.6408,0.4365,0.5376,0.4607,0.4992
14,-0.2217,0.5414,0.539,0.3158,0.4655,0.3907,0.2173,0.6852,0.4513,0.5533,0.4872,0.5202
